Incident_Id,Offense,Cluster
143665,Intimidation,Psychological Harassment
143666,Simple Assault,Assault
143667,Destruction/Damage/Vandalism of Property,Assault
143668,Intimidation,Psychological Harassment
143669,Intimidation,Psychological Harassment
143670,Simple Assault,Assault
143671,Intimidation,Psychological Harassment
143672,Intimidation,Psychological Harassment
143673,Intimidation,Psychological Harassment
143674,Intimidation,Psychological Harassment
143675,Destruction/Damage/Vandalism of Property,Assault
143676,Simple Assault,Assault
143677,Destruction/Damage/Vandalism of Property,Assault
143678,Intimidation,Psychological Harassment
143679,Intimidation,Psychological Harassment
143680,Intimidation,Psychological Harassment
143681,Intimidation,Psychological Harassment
143682,Simple Assault,Assault
143683,Aggravated Assault,Assault
143684,Intimidation,Psychological Harassment
143685,Simple Assault,Assault
143686,Destruction/Damage/Vandalism of Property,Assault
143687,Aggravated Assault,Assault
143688,Destruction/Damage/Vandalism of Property,Assault
143689,Intimidation,Psychological Harassment
143690,Destruction/Damage/Vandalism of Property,Assault
143691,Destruction/Damage/Vandalism of Property,Assault
143692,Robbery,Burgarly or Robbery
143693,Destruction/Damage/Vandalism of Property,Assault
147600,Simple Assault,Assault
147601,Destruction/Damage/Vandalism of Property,Assault
147602,Destruction/Damage/Vandalism of Property,Assault
147603,Destruction/Damage/Vandalism of Property,Assault
147604,Destruction/Damage/Vandalism of Property,Assault
147605,Intimidation,Psychological Harassment
147606,Destruction/Damage/Vandalism of Property,Assault
147607,Intimidation,Psychological Harassment
147608,Intimidation,Psychological Harassment
147609,Destruction/Damage/Vandalism of Property,Assault
147610,Simple Assault,Assault
147611,Destruction/Damage/Vandalism of Property,Assault
147611,Intimidation,Psychological Harassment
147612,Intimidation,Psychological Harassment
147613,Intimidation,Psychological Harassment
147614,Simple Assault,Assault
147615,Simple Assault,Assault
147616,Aggravated Assault,Assault
147617,Intimidation,Psychological Harassment
147618,Aggravated Assault,Assault
147618,Intimidation,Psychological Harassment
147619,Destruction/Damage/Vandalism of Property,Assault
147620,Aggravated Assault,Assault
147620,Simple Assault,Assault
147621,Aggravated Assault,Assault
147622,Simple Assault,Assault
147623,Intimidation,Psychological Harassment
147624,Destruction/Damage/Vandalism of Property,Assault
147625,Destruction/Damage/Vandalism of Property,Assault
147626,Intimidation,Psychological Harassment
147627,Aggravated Assault,Assault
147628,Intimidation,Psychological Harassment
147629,Destruction/Damage/Vandalism of Property,Assault
147630,Intimidation,Psychological Harassment
147631,Destruction/Damage/Vandalism of Property,Assault
147632,Destruction/Damage/Vandalism of Property,Assault
147633,Intimidation,Psychological Harassment
147634,Intimidation,Psychological Harassment
147635,Destruction/Damage/Vandalism of Property,Assault
147636,Simple Assault,Assault
147637,Destruction/Damage/Vandalism of Property,Assault
147638,Simple Assault,Assault
147639,Destruction/Damage/Vandalism of Property,Assault
147640,Intimidation,Psychological Harassment
147641,Intimidation,Psychological Harassment
147642,Intimidation,Psychological Harassment
147643,Destruction/Damage/Vandalism of Property,Assault
147644,Destruction/Damage/Vandalism of Property,Assault
147645,Simple Assault,Assault
147646,Destruction/Damage/Vandalism of Property,Assault
147647,Destruction/Damage/Vandalism of Property,Assault
147648,Destruction/Damage/Vandalism of Property,Assault
147649,Simple Assault,Assault
147650,Intimidation,Psychological Harassment
147651,Simple Assault,Assault
147652,Simple Assault,Assault
147653,Intimidation,Psychological Harassment
147654,Simple Assault,Assault
147655,Aggravated Assault,Assault
147656,Simple Assault,Assault
147657,Intimidation,Psychological Harassment
147658,Intimidation,Psychological Harassment
147659,Simple Assault,Assault
147660,Simple Assault,Assault
147661,Simple Assault,Assault
147662,Intimidation,Psychological Harassment
147663,Robbery,Burgarly or Robbery
147664,Aggravated Assault,Assault
147665,Aggravated Assault,Assault
147666,Simple Assault,Assault
147667,Intimidation,Psychological Harassment
147668,Destruction/Damage/Vandalism of Property,Assault
147669,Destruction/Damage/Vandalism of Property,Assault
143694,Simple Assault,Assault
143695,Intimidation,Psychological Harassment
143696,Destruction/Damage/Vandalism of Property,Assault
143697,Destruction/Damage/Vandalism of Property,Assault
143698,Destruction/Damage/Vandalism of Property,Assault
143699,Intimidation,Psychological Harassment
143700,Intimidation,Psychological Harassment
147670,Destruction/Damage/Vandalism of Property,Assault
147671,Destruction/Damage/Vandalism of Property,Assault
147672,Intimidation,Psychological Harassment
147673,Destruction/Damage/Vandalism of Property,Assault
147674,Aggravated Assault,Assault
147675,Aggravated Assault,Assault
147676,Destruction/Damage/Vandalism of Property,Assault
147677,Simple Assault,Assault
147678,Intimidation,Psychological Harassment
143701,Intimidation,Psychological Harassment
147679,Intimidation,Psychological Harassment
147680,Simple Assault,Assault
147681,Simple Assault,Assault
143702,Intimidation,Psychological Harassment
147682,Aggravated Assault,Assault
143703,Aggravated Assault,Assault
143704,Intimidation,Psychological Harassment
143705,Simple Assault,Assault
143706,Destruction/Damage/Vandalism of Property,Assault
143707,Arson,Assault
143708,Arson,Assault
143709,Arson,Assault
143710,Arson,Assault
143711,Destruction/Damage/Vandalism of Property,Assault
143712,Destruction/Damage/Vandalism of Property,Assault
143713,Destruction/Damage/Vandalism of Property,Assault
143714,Destruction/Damage/Vandalism of Property,Assault
143715,Destruction/Damage/Vandalism of Property,Assault
143716,Intimidation,Psychological Harassment
143717,Aggravated Assault,Assault
143718,Simple Assault,Assault
143719,Intimidation,Psychological Harassment
143720,Simple Assault,Assault
143721,Aggravated Assault,Assault
143722,Intimidation,Psychological Harassment
143722,Simple Assault,Assault
143723,Aggravated Assault,Assault
143724,Intimidation,Psychological Harassment
143725,Intimidation,Psychological Harassment
143726,Aggravated Assault,Assault
143727,Destruction/Damage/Vandalism of Property,Assault
143728,Intimidation,Psychological Harassment
147683,Destruction/Damage/Vandalism of Property,Assault
147684,Destruction/Damage/Vandalism of Property,Assault
143729,Intimidation,Psychological Harassment
143730,Destruction/Damage/Vandalism of Property,Assault
147685,Intimidation,Psychological Harassment
147686,Intimidation,Psychological Harassment
147687,Intimidation,Psychological Harassment
143731,Simple Assault,Assault
147688,Destruction/Damage/Vandalism of Property,Assault
147689,Destruction/Damage/Vandalism of Property,Assault
143732,Destruction/Damage/Vandalism of Property,Assault
143733,Intimidation,Psychological Harassment
143734,Intimidation,Psychological Harassment
147690,Destruction/Damage/Vandalism of Property,Assault
147691,Aggravated Assault,Assault
147692,Aggravated Assault,Assault
147693,Aggravated Assault,Assault
143735,Destruction/Damage/Vandalism of Property,Assault
143736,Intimidation,Psychological Harassment
147694,Intimidation,Psychological Harassment
147797,Intimidation,Psychological Harassment
147798,Destruction/Damage/Vandalism of Property,Assault
143768,Destruction/Damage/Vandalism of Property,Assault
143769,Simple Assault,Assault
147799,Destruction/Damage/Vandalism of Property,Assault
147800,Simple Assault,Assault
143770,Intimidation,Psychological Harassment
147801,Simple Assault,Assault
143771,Destruction/Damage/Vandalism of Property,Assault
147802,Destruction/Damage/Vandalism of Property,Assault
143772,Intimidation,Psychological Harassment
143773,Destruction/Damage/Vandalism of Property,Assault
143774,Destruction/Damage/Vandalism of Property,Assault
143775,Destruction/Damage/Vandalism of Property,Assault
143776,Destruction/Damage/Vandalism of Property,Assault
143777,Destruction/Damage/Vandalism of Property,Assault
147803,Destruction/Damage/Vandalism of Property,Assault
147804,Destruction/Damage/Vandalism of Property,Assault
147805,Destruction/Damage/Vandalism of Property,Assault
147806,Destruction/Damage/Vandalism of Property,Assault
147807,Destruction/Damage/Vandalism of Property,Assault
147808,Destruction/Damage/Vandalism of Property,Assault
147809,Destruction/Damage/Vandalism of Property,Assault
147810,Destruction/Damage/Vandalism of Property,Assault
147811,Destruction/Damage/Vandalism of Property,Assault
143778,Intimidation,Psychological Harassment
147812,Simple Assault,Assault
147813,Destruction/Damage/Vandalism of Property,Assault
143779,Aggravated Assault,Assault
143780,Intimidation,Psychological Harassment
143781,Intimidation,Psychological Harassment
143782,Aggravated Assault,Assault
143782,Intimidation,Psychological Harassment
143783,Intimidation,Psychological Harassment
143784,Intimidation,Psychological Harassment
147814,Simple Assault,Assault
147815,Destruction/Damage/Vandalism of Property,Assault
147816,Robbery,Burgarly or Robbery
147817,Aggravated Assault,Assault
147818,Aggravated Assault,Assault
147818,Intimidation,Psychological Harassment
147819,Aggravated Assault,Assault
147820,Destruction/Damage/Vandalism of Property,Assault
147821,Robbery,Burgarly or Robbery
147822,Robbery,Burgarly or Robbery
143785,Destruction/Damage/Vandalism of Property,Assault
143786,Simple Assault,Assault
143787,Destruction/Damage/Vandalism of Property,Assault
143788,Intimidation,Psychological Harassment
143789,Destruction/Damage/Vandalism of Property,Assault
147823,Simple Assault,Assault
147824,Destruction/Damage/Vandalism of Property,Assault
147825,Destruction/Damage/Vandalism of Property,Assault
147826,Destruction/Damage/Vandalism of Property,Assault
147827,Intimidation,Psychological Harassment
147828,Destruction/Damage/Vandalism of Property,Assault
143790,Simple Assault,Assault
147829,Robbery,Burgarly or Robbery
147829,Simple Assault,Assault
147830,Destruction/Damage/Vandalism of Property,Assault
143791,Simple Assault,Assault
143792,Destruction/Damage/Vandalism of Property,Assault
143793,Destruction/Damage/Vandalism of Property,Assault
143794,Intimidation,Psychological Harassment
143795,Destruction/Damage/Vandalism of Property,Assault
143796,Destruction/Damage/Vandalism of Property,Assault
143797,Destruction/Damage/Vandalism of Property,Assault
143798,Destruction/Damage/Vandalism of Property,Assault
143799,Destruction/Damage/Vandalism of Property,Assault
143800,Simple Assault,Assault
143801,Destruction/Damage/Vandalism of Property,Assault
143802,Destruction/Damage/Vandalism of Property,Assault
143803,Destruction/Damage/Vandalism of Property,Assault
147831,Simple Assault,Assault
147832,Destruction/Damage/Vandalism of Property,Assault
143804,Intimidation,Psychological Harassment
143805,Destruction/Damage/Vandalism of Property,Assault
143806,Simple Assault,Assault
