Incident_Id,Year,State,Region
147652,2010,Arizona,West
147653,2010,Arizona,West
147654,2010,Arizona,West
147655,2010,Arizona,West
147656,2010,Arizona,West
147657,2010,Arizona,West
147658,2010,Arizona,West
147659,2010,Arizona,West
147660,2010,Arizona,West
147661,2010,Arizona,West
147662,2010,Arizona,West
147663,2010,Arizona,West
147664,2010,Arizona,West
147665,2010,Arizona,West
147666,2010,Arizona,West
147667,2010,Arizona,West
147668,2010,Arizona,West
147669,2010,Arizona,West
143694,2010,Arizona,West
143695,2010,Arizona,West
143696,2010,Arizona,West
143697,2010,Arizona,West
143698,2010,Arizona,West
143699,2010,Arizona,West
143700,2010,Arizona,West
147670,2010,Arizona,West
147671,2010,Arizona,West
147672,2010,Arizona,West
147673,2010,Arizona,West
147674,2010,Arizona,West
147675,2010,Arizona,West
147676,2010,Arizona,West
147677,2010,Arizona,West
147678,2010,Arizona,West
143701,2010,Arizona,West
147679,2010,Arizona,West
147680,2010,Arizona,West
147681,2010,Arizona,West
143702,2010,Arizona,West
147682,2010,Arizona,West
143703,2010,Arizona,West
143704,2010,Arizona,West
143705,2010,Arizona,West
143706,2010,Arizona,West
143707,2010,Arizona,West
143708,2010,Arizona,West
143709,2010,Arizona,West
143710,2010,Arizona,West
143711,2010,Arizona,West
143712,2010,Arizona,West
143713,2010,Arizona,West
143714,2010,Arizona,West
143715,2010,Arizona,West
143716,2010,Arizona,West
143717,2010,Arizona,West
143718,2010,Arizona,West
143719,2010,Arizona,West
143720,2010,Arizona,West
143721,2010,Arizona,West
143722,2010,Arizona,West
143723,2010,Arizona,West
143724,2010,Arizona,West
143725,2010,Arizona,West
143726,2010,Arizona,West
143727,2010,Arizona,West
143728,2010,Arizona,West
147683,2010,Arizona,West
147684,2010,Arizona,West
143729,2010,Arizona,West
143730,2010,Arizona,West
147685,2010,Arizona,West
147686,2010,Arizona,West
147687,2010,Arizona,West
143731,2010,Arizona,West
147688,2010,Arizona,West
147689,2010,Arizona,West
143732,2010,Arizona,West
143733,2010,Arizona,West
143734,2010,Arizona,West
147690,2010,Arizona,West
147691,2010,Arizona,West
147692,2010,Arizona,West
147693,2010,Arizona,West
143735,2010,Arizona,West
143736,2010,Arizona,West
147694,2010,Arizona,West
147797,2010,California,West
147798,2010,California,West
143768,2010,California,West
143769,2010,California,West
147799,2010,California,West
147800,2010,California,West
143770,2010,California,West
147801,2010,California,West
